id,zip_code,city,state_code,state_name,Housing Affordability,Housing Affordability,Housing Affordability,Housing Affordability,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Job Market Strength,Job Market Strength,Job Market Strength,Job Market Strength,Living Affordability,Living Affordability,Living Affordability,Living Affordability,Living Affordability
22971,35072,Goodwater,AL,Alabama,$118.6 K,0.24%,1.4%,$69.48,47,20,67,71,75,21,11,2.3%,2.1%,30,$35.72 K,5%,39,31,9%,44
22972,35080,Helena,AL,Alabama,$448.6 K,0.96%,2.6%,$305.98,90,63,56,81,65,95,83,2.4%,1.79%,79,$64.8 K,6.8%,29,49,0%,27
22973,35098,Logan,AL,Alabama,$364.9 K,0.55%,0.4%,$234.42,86,73,55,78,57,67,53,2.3%,-0.12%,87,$52.47 K,4.9%,34,27,7%,37
22974,35180,Warrior,AL,Alabama,$241.5 K,0.5%,1.2%,$166.98,72,77,64,60,59,29,19,2.4%,1.42%,53,$53.26 K,5%,37,37,10%,50
22975,35223,Birmingham,AL,Alabama,$137.3 K,0.7%,-7.1%,$96.73,74,79,67,50,64,39,36,3.1%,1.42%,46,$42.46 K,5%,36,30,10%,47
22976,35233,Birmingham,AL,Alabama,$137.3 K,0.7%,-7.1%,$96.73,74,79,67,50,64,39,36,3.1%,1.42%,46,$42.46 K,5%,36,30,10%,47
22977,35444,Brookwood,AL,Alabama,$190 K,0.31%,2.2%,$119.23,56,54,68,70,58,22,12,2.3%,0.94%,71,$75.13 K,5%,37,31,10%,48
22978,35574,Kennedy,AL,Alabama,$270.3 K,1.5%,4.3%,$116.52,86,100,63,57,48,48,38,2.8%,0.91%,50,$78.06 K,3.1%,36,45,7%,62
22979,35620,Elkmont,AL,Alabama,$261.7 K,0.32%,5.8%,$148.91,60,53,67,73,64,24,13,2.1%,1.52%,86,$42.92 K,5%,34,33,8%,41
22980,35978,Henagar,AL,Alabama,$174.7 K,0.38%,0.4%,$105.33,67,42,67,81,64,22,13,2.2%,-1.03%,55,$44.34 K,5%,34,34,9%,37
22981,36024,Eclectic,AL,Alabama,$352 K,0.27%,3.7%,$157.32,62,59,67,74,53,26,17,2.1%,0.25%,77,$52.22 K,5%,40,32,10%,64
22982,36033,Georgiana,AL,Alabama,$101.1 K,0.38%,0.7%,$65.23,41,34,66,73,62,21,16,2.7%,1.97%,57,$27.38 K,5%,35,28,10%,37
22983,36104,Montgomery,AL,Alabama,$136.4 K,0.38%,2.1%,$72.34,81,61,66,55,62,57,46,2.8%,0.3%,46,$54.17 K,5%,37,29,10%,43
22984,36116,Montgomery,AL,Alabama,$136.4 K,0.38%,2.1%,$72.34,81,61,66,55,62,57,46,2.8%,0.3%,46,$54.17 K,5%,37,29,10%,43
22985,36258,Delta,AL,Alabama,$298.9 K,1.64%,4.9%,$144.44,80,61,59,79,60,67,53,2.4%,1.53%,75,$81.15 K,4.2%,35,33,6%,50
22986,36269,Muscadine,AL,Alabama,,,,,,,,,,,,,,,,,,,,
22987,36350,Midland City,AL,Alabama,$188.2 K,0.29%,9.3%,$100.93,64,46,67,67,57,22,13,2.5%,1.84%,54,$35.68 K,5%,34,34,10%,42
22988,36476,River Falls,AL,Alabama,$351.2 K,1.63%,1.4%,-,88,64,50,84,43,44,34,2.9%,2.06%,67,$72.25 K,5.3%,35,47,5.5%,59
22989,36526,Daphne,AL,Alabama,$316.3 K,0.3%,2.2%,$146.65,85,62,68,80,68,59,43,2.2%,2.21%,94,$80.66 K,5%,35,37,9.5%,44
22990,36527,Daphne,AL,Alabama,$316.3 K,0.3%,2.2%,$146.65,85,62,68,80,68,59,43,2.2%,2.21%,94,$80.66 K,5%,35,37,9.5%,44
22991,36530,Elberta,AL,Alabama,$329.4 K,0.3%,5.5%,$167.57,74,66,67,82,65,27,23,2.3%,2.21%,92,$47.45 K,5%,36,38,11%,35
22992,36574,Seminole,AL,Alabama,$392.5 K,0.68%,3.1%,$241.3,77,97,73,81,60,42,31,2.9%,2.78%,63,$69.42 K,0%,40,56,7%,58
22993,36871,Pittsview,AL,Alabama,,,,,,,,,,,,,,,,,,,,
22994,37023,Big Rock,TN,Tennessee,$302.5 K,2.47%,6.1%,$135.39,78,84,56,76,56,22,17,4.1%,-0.1%,57,$96.4 K,5%,35,39,8.25%,51
22995,37027,Brentwood,TN,Tennessee,$829 K,1.01%,-1.1%,$325.24,82,100,78,74,35,100,77,4.6%,-0.81%,80,$134.69 K,9.3%,39,64,9.75%,92
22996,37082,Kingston Springs,TN,Tennessee,$428.7 K,0.57%,0%,$221.71,76,41,62,79,51,25,16,2.8%,2.2%,58,$92.16 K,0%,36,44,9.75%,64
22997,37083,Lafayette,TN,Tennessee,$224.2 K,0.58%,-2.3%,$112.82,83,90,67,72,59,73,63,3.2%,-0.32%,73,$58.85 K,4.2%,28,35,9.45%,62
22998,37361,Ocoee,TN,Tennessee,$400.7 K,0.91%,4.2%,$193.11,81,73,61,77,52,68,52,2.4%,2.28%,91,$88.83 K,0%,42,50,6.5%,67
22999,37664,Kingsport,TN,Tennessee,$223.5 K,0.67%,9.9%,$142.97,73,60,65,75,62,61,47,3.8%,1.74%,49,$48.23 K,0%,30,35,9.5%,44
23000,37801,Maryville,TN,Tennessee,$349.8 K,0.54%,8.8%,$192.38,76,54,68,76,61,40,29,3%,2.4%,85,$74.61 K,0%,34,40,9.75%,42
23001,37810,Mohawk,TN,Tennessee,$242.8 K,2.64%,5%,$94.91,45,54,55,83,63,22,17,4.4%,1.03%,45,$73.56 K,5.5%,42,38,8%,42
23002,37881,Thorn Hill,TN,Tennessee,,,,,,,,,,,,,,,,,,,,
23003,37916,Knoxville,TN,Tennessee,$336.1 K,0.52%,11.7%,$173.43,83,65,63,64,60,56,48,3.2%,2.48%,78,$48.31 K,0%,32,40,9.25%,43
23004,38036,Gallaway,TN,Tennessee,$204 K,0.35%,1.9%,$95.19,40,41,67,72,50,21,13,3.6%,0.43%,76,$31.18 K,0%,35,32,9.25%,52
23005,38240,Obion,TN,Tennessee,$115.4 K,0.7%,2.9%,$76.98,62,52,65,78,70,20,10,3.8%,2.47%,22,$47.5 K,0%,35,21,9.75%,38
23006,38450,Collinwood,TN,Tennessee,$358.4 K,0.92%,2.4%,$122.27,70,58,53,91,64,23,23,1.9%,0.53%,56,$96 K,6.8%,36,41,7.38%,41
23007,38486,Westpoint,TN,Tennessee,,,,,,,,,,,,,,,,,,,,
23008,38603,Ashland,MS,Mississippi,$705.8 K,0.69%,1.8%,$235.52,62,100,84,58,52,57,41,4.5%,-0.76%,65,$75.11 K,9.3%,33,66,10.75%,79
23009,38641,Lake Cormorant,MS,Mississippi,,,,,,,,,,,,,,,,,,,,
23010,38749,Indianola,MS,Mississippi,$290.1 K,1.72%,2.2%,$187.56,77,52,56,78,61,42,36,2.7%,0.54%,80,$73.53 K,5.7%,35,43,7%,40
23011,38868,Shannon,MS,Mississippi,$197.1 K,0.64%,3.7%,$137.34,81,50,65,66,56,25,13,2.7%,1.55%,90,$74.72 K,4.9%,34,35,10.5%,52
23012,38873,Tishomingo,MS,Mississippi,$130.8 K,0.63%,1.5%,$91.06,56,30,66,80,58,27,23,4.1%,8.87%,61,$32.06 K,4.8%,35,27,9.5%,44
23013,39074,Forest,MS,Mississippi,$477.4 K,1.22%,5.4%,$230.69,94,81,61,73,59,44,39,2.6%,3.25%,77,$150.15 K,4.2%,37,47,6%,56
23014,39115,Midnight,MS,Mississippi,,,,,,,,,,,,,,,,,,,,
23015,39451,Leakesville,MS,Mississippi,$129.1 K,0.77%,-2.6%,$73.69,56,42,59,76,60,22,12,3%,1.11%,58,$49.25 K,5%,36,31,7%,55
23016,39470,Poplarville,MS,Mississippi,$213.7 K,0.74%,8.5%,$117.77,65,48,66,77,62,32,19,2.5%,0.69%,51,$51.25 K,5%,35,35,7%,52
23017,39483,Foxworth,MS,Mississippi,$134 K,0.74%,-6.6%,$71.12,63,37,64,75,63,21,12,2.6%,-0.05%,54,$21.15 K,5%,38,34,7%,46
23018,39530,Biloxi,MS,Mississippi,$220.4 K,0.68%,2.1%,$98.24,86,52,74,76,61,46,43,2.4%,1.17%,61,$55.78 K,5%,36,36,7%,44
23019,39654,Monticello,MS,Mississippi,$308.6 K,0.9%,1.3%,$217.59,77,76,54,84,48,47,31,1.8%,0.16%,88,$80.29 K,6.8%,35,47,7.38%,67
23020,39767,Stewart,MS,Mississippi,$312 K,1.28%,1.9%,$216.6,81,80,55,80,59,29,16,1.4%,1.68%,85,$92.96 K,6.8%,32,45,8.12%,42
23021,40231,Louisville,KY,Kentucky,$241.1 K,0.87%,4.4%,$163.96,78,68,69,57,52,47,38,3.8%,-0.52%,75,$63.11 K,4.5%,33,39,6%,59
23022,40258,Louisville,KY,Kentucky,$241.1 K,0.87%,4.4%,$163.96,78,68,69,57,52,47,38,3.8%,-0.52%,75,$63.11 K,4.5%,33,39,6%,59
23023,40601,Frankfort,KY,Kentucky,$392.1 K,2.41%,5.9%,$175.49,88,74,60,74,66,57,48,4.2%,-0.6%,76,$103.68 K,5%,35,41,8.75%,55
23024,40847,Kenvir,KY,Kentucky,$73.4 K,0.97%,8.2%,$79.78,49,27,61,84,61,22,12,6.2%,-0.84%,44,$33.94 K,4.5%,31,27,6%,45
23025,40972,Oneida,KY,Kentucky,$164.1 K,2.52%,6.8%,$100.15,67,67,51,92,54,41,37,3.5%,1.83%,38,$56.04 K,5.5%,33,40,8.75%,46
23026,41003,Berry,KY,Kentucky,$205.2 K,0.58%,4.8%,$130.08,63,46,63,82,62,31,22,2.7%,1.2%,56,$43.39 K,4.9%,35,32,9%,32
23027,41018,Erlanger,KY,Kentucky,$216 K,1.1%,5.9%,$160.45,71,48,65,70,56,42,32,3.5%,0.6%,69,$74.15 K,4.5%,33,37,6%,52
23028,41044,Germantown,KY,Kentucky,$405.4 K,0.87%,3.8%,$177.82,95,100,65,77,44,54,40,1.5%,1.99%,73,$109.27 K,4.8%,31,60,6%,94
23029,41074,Dayton,KY,Kentucky,$142.7 K,1.8%,0.9%,$95.05,71,59,65,60,67,40,33,4.1%,2.45%,30,$41.44 K,3.2%,43,31,7.5%,43
23030,41144,Greenup,KY,Kentucky,$97.3 K,1.86%,6.8%,$43.55,65,43,62,84,64,20,13,2.8%,0.94%,72,$71.27 K,5%,34,30,7.75%,33
23031,41149,Isonville,KY,Kentucky,,,,,,,,,,,,,,,,,,,,
23032,41175,South Shore,KY,Kentucky,$105.2 K,1.06%,3.2%,$72.37,48,34,66,83,55,22,12,5.8%,-0.36%,40,$27.2 K,4.5%,34,41,6%,51
23033,41262,Tomahawk,KY,Kentucky,$241.8 K,1.59%,2.4%,-,57,68,47,88,60,39,39,2.7%,0.49%,39,$59.8 K,5.3%,32,32,5.5%,40
23034,41572,Virgie,KY,Kentucky,$56.4 K,0.78%,-9.4%,$37.13,84,45,61,85,58,19,11,5.4%,-3.05%,49,$36.33 K,4.5%,31,39,6%,49
23035,41729,Combs,KY,Kentucky,$377.1 K,0.88%,10%,$179.65,55,46,61,78,59,21,18,2.4%,3.22%,25,$61.56 K,5%,38,30,8.98%,42
23036,41766,Thousandsticks,KY,Kentucky,,,,,,,,,,,,,,,,,,,,
23037,41821,Hallie,KY,Kentucky,$463.3 K,1.26%,6%,$212.36,60,74,51,82,61,54,57,2.8%,0.72%,75,$103.04 K,5.3%,36,32,5.5%,48
23038,41838,Millstone,KY,Kentucky,$798.7 K,1.89%,6.7%,$321.15,94,78,62,81,60,19,10,3.8%,0.34%,67,$190.56 K,5.5%,41,61,6.62%,74
23039,42022,Bandana,KY,Kentucky,$126.4 K,0.91%,1.5%,$52.66,57,34,67,82,62,20,11,4.2%,0.58%,27,$130.37 K,4.5%,33,35,6%,43
23040,42025,Benton,KY,Kentucky,$441.8 K,0.74%,3.2%,$196.28,89,75,62,72,55,100,98,2.1%,2.08%,95,$99.07 K,4.9%,36,45,9.5%,41
23041,42066,Mayfield,KY,Kentucky,$203.5 K,2.03%,6.3%,$143.85,85,91,61,67,57,72,57,2.9%,2.45%,47,$59.42 K,3.2%,33,41,8%,43
23042,42234,Guthrie,KY,Kentucky,$212.1 K,0.67%,-1.1%,$119.47,68,55,67,69,55,44,59,3%,2.2%,86,$55.41 K,4.8%,35,36,9.25%,59
23043,42361,Olaton,KY,Kentucky,,,,,,,,,,,,,,,,,,,,
23044,42541,Middleburg,KY,Kentucky,$235.5 K,1.98%,5.4%,$131.5,84,100,68,61,56,84,70,2.9%,2.45%,47,$74.11 K,3.2%,34,39,8%,49
23045,42544,Nancy,KY,Kentucky,,,,,,,,,,,,,,,,,,,,
23046,42718,Campbellsville,KY,Kentucky,$176.9 K,0.76%,3.3%,$119.09,58,55,62,84,62,46,33,3.5%,-2.48%,79,$53.25 K,4.5%,33,32,6%,31
23047,43011,Centerburg,OH,Ohio,$338.9 K,1.05%,5.8%,$192.24,72,55,54,83,61,24,12,2.8%,0.86%,62,$62.79 K,3.2%,38,43,7.25%,42
23048,43015,Delaware,OH,Ohio,$370.9 K,1.54%,2.1%,$165.29,89,66,59,77,51,70,63,2.6%,1.24%,93,$86.39 K,3.2%,36,48,7%,55
23049,43017,Dublin,OH,Ohio,$1.24 M,0.76%,4.1%,$592.59,96,100,78,70,49,99,72,4.3%,-0.76%,71,$191.04 K,9.3%,39,65,10.25%,83
23050,43035,Lewis Center,OH,Ohio,,,,,,,,,,,,,,,,,,,,
23051,43060,North Lewisburg,OH,Ohio,$210.8 K,0.93%,9%,$130.24,60,45,61,77,61,22,12,2.9%,1.74%,52,$53.58 K,3.2%,41,39,7.25%,34
23052,43154,Stoutsville,OH,Ohio,$267.6 K,1.15%,1.4%,$158.5,73,55,62,81,50,20,11,2.7%,1.08%,72,$64.69 K,3.2%,37,42,7.25%,57
23053,43162,West Jefferson,OH,Ohio,$232.7 K,1.26%,6.4%,$158,54,47,61,76,49,26,16,2.5%,0.4%,82,$63.75 K,3.2%,38,38,7.5%,49
23054,43326,Kenton,OH,Ohio,$151.3 K,1.22%,-0.2%,$94.67,57,50,61,77,64,34,25,3.2%,-1.6%,38,$46.81 K,3.2%,39,25,7.25%,36
23055,43340,Mount Victory,OH,Ohio,$192.4 K,1.12%,2.4%,$120.64,60,46,62,81,61,21,13,3.2%,-1.6%,36,$48.65 K,3.2%,36,26,7.25%,36
23056,43440,Lakeside Marblehead,OH,Ohio,,,,,,,,,,,,,,,,,,,,
23057,43524,Hamler,OH,Ohio,$155.7 K,1.2%,3.4%,$90.58,75,58,61,85,62,20,11,3.3%,0.37%,38,$55.75 K,3.2%,34,25,7.25%,35
23058,43554,Pioneer,OH,Ohio,$253.1 K,0.87%,1.9%,$105.44,63,35,64,78,49,40,31,3.7%,-0.58%,83,$77 K,4.5%,32,36,6%,57
23059,43720,Blue Rock,OH,Ohio,$142.5 K,0.96%,7.5%,$72.05,57,47,65,76,63,17,11,3%,0.75%,42,$56.81 K,3.2%,38,36,7.25%,34
23060,43749,Kimbolton,OH,Ohio,$113.2 K,1.01%,3.9%,$77.52,45,46,61,88,60,19,11,3.6%,2.18%,38,$53.9 K,3.2%,39,35,7.75%,35
23061,43805,Blissfield,OH,Ohio,$228.5 K,1.5%,3.8%,$110.42,60,63,58,84,62,25,16,3.4%,-0.22%,39,$68.75 K,4.2%,37,32,6%,47
23062,44044,Grafton,OH,Ohio,$343.8 K,2.61%,6.3%,$153.87,88,74,56,75,39,59,46,3.7%,-0.47%,62,$100.1 K,5%,33,37,8%,83
23063,44055,Lorain,OH,Ohio,$126.3 K,1.4%,5.9%,$88.86,38,65,60,79,62,38,34,3.8%,2.24%,58,$46.56 K,3.2%,33,31,6.5%,36
23064,44067,Northfield,OH,Ohio,$635.5 K,2.02%,4.6%,$284.43,95,99,63,56,47,89,64,4.6%,-0.49%,59,$78.3 K,5%,34,50,10.25%,80
23065,44084,Rock Creek,OH,Ohio,$245.2 K,1.35%,3.6%,$103.17,61,49,63,80,58,20,15,2%,0.58%,56,$74.89 K,5.7%,40,38,8%,46
23066,44123,Euclid,OH,Ohio,$129.7 K,2.58%,3.7%,$98.95,66,97,68,67,66,34,26,3.7%,2.45%,42,$45.02 K,3.2%,33,34,8%,48
23067,44313,Akron,OH,Ohio,$130.6 K,1.84%,5.6%,$93.01,66,70,66,67,66,44,39,3.8%,1.69%,54,$46.6 K,3.2%,32,30,6.75%,40
23068,44404,Burghill,OH,Ohio,,,,,,,,,,,,,,,,,,,,
23069,44627,Fredericksburg,OH,Ohio,$433.9 K,0.64%,4.4%,$221.73,91,60,64,75,59,95,100,3.5%,3.71%,84,$83.45 K,5.8%,33,61,5.3%,54
23070,44710,Canton,OH,Ohio,$355.8 K,1.48%,4.8%,$171.93,81,84,60,64,47,56,44,1.9%,1.69%,58,$113.61 K,4.2%,34,43,6%,79
23071,45011,Hamilton,OH,Ohio,$400.4 K,2.6%,10.9%,$227.08,82,76,63,71,55,21,10,3.5%,1.46%,64,$91.13 K,5.5%,46,50,6.62%,59
23072,45015,Hamilton,OH,Ohio,$400.4 K,2.6%,10.9%,$227.08,82,76,63,71,55,21,10,3.5%,1.46%,64,$91.13 K,5.5%,46,50,6.62%,59
23073,45054,Oregonia,OH,Ohio,,,,,,,,,,,,,,,,,,,,
23074,45113,Clarksville,OH,Ohio,$296.5 K,0.72%,2%,$159.02,73,53,65,78,62,72,55,4.1%,1.99%,85,$62.69 K,0%,35,36,9.5%,46
23075,45115,Decatur,OH,Ohio,$90.5 K,2.19%,11.3%,$71.45,60,60,60,80,66,50,42,5.9%,-0.77%,21,$49.04 K,5%,33,27,9.25%,33
23076,45152,Morrow,OH,Ohio,$240.4 K,0.82%,4.4%,$148.38,52,46,70,59,45,64,43,4%,1.22%,71,$64.89 K,5.8%,38,30,8%,77
23077,45206,Cincinnati,OH,Ohio,$232.7 K,1.49%,6.3%,$138.62,89,87,64,55,63,47,47,3.3%,2.48%,55,$49.19 K,3.2%,36,40,7.8%,54
23078,45328,Gettysburg,OH,Ohio,$310.2 K,1.44%,3.6%,$169.41,74,63,60,74,61,80,96,2.1%,0.44%,82,$50.74 K,3.1%,39,55,6%,34
23079,45365,Sidney,OH,Ohio,$191.8 K,1.09%,4.1%,$108.16,51,52,57,74,67,47,38,2.8%,1.7%,36,$63.85 K,3.2%,37,35,7.25%,26
23080,45406,Dayton,OH,Ohio,$142.7 K,1.8%,0.9%,$95.05,71,59,65,60,67,40,33,4.1%,2.45%,30,$41.44 K,3.2%,43,31,7.5%,43
23081,45431,Dayton,OH,Ohio,$142.7 K,1.8%,0.9%,$95.05,71,59,65,60,67,40,33,4.1%,2.45%,30,$41.44 K,3.2%,43,31,7.5%,43
23082,45623,Crown City,OH,Ohio,$137.4 K,0.99%,0.6%,$98.91,44,35,62,75,58,20,11,3.8%,1.52%,33,$56.72 K,3.2%,43,41,7.25%,43
23083,45688,Waterloo,OH,Ohio,$132.6 K,1.73%,4.3%,$107.56,65,66,55,84,64,46,48,3.6%,-0.09%,41,$54.1 K,5.7%,30,30,7%,29
23084,45724,Cutler,OH,Ohio,$525.6 K,0.96%,9.7%,$264.39,77,97,77,80,40,58,42,1.2%,0.72%,76,$78.57 K,0%,32,54,7%,97
23085,45807,Lima,OH,Ohio,$135 K,1.19%,4.1%,$86.42,63,66,61,79,65,48,39,3.7%,0.67%,26,$41.82 K,3.2%,38,21,6.85%,34
23086,45826,Chickasaw,OH,Ohio,$102.5 K,0.41%,6.1%,$68.13,44,57,72,63,54,25,16,3.1%,0.74%,42,$38.99 K,5%,33,26,10%,50
23087,45835,Dola,OH,Ohio,$121.8 K,0.56%,0.5%,$105.75,35,61,74,89,71,19,10,4.5%,1.13%,54,$36.27 K,2.5%,37,32,5.6%,41
23088,46051,Lapel,IN,Indiana,$214.3 K,0.7%,6%,$129.77,68,55,61,82,50,21,12,3.6%,0.49%,40,$69.03 K,3.2%,31,31,7%,58
23089,46140,Greenfield,IN,Indiana,$273.6 K,1.99%,10%,$170.71,78,95,53,70,52,44,35,3.1%,1.02%,50,$67.54 K,5.3%,37,35,5.5%,57
23090,46240,Indianapolis,IN,Indiana,$225.6 K,0.96%,1.2%,$138.8,88,96,64,57,56,54,46,3.4%,0.24%,62,$59.11 K,3.2%,30,32,7%,53
23091,46321,Munster,IN,Indiana,$324.2 K,0.98%,3.7%,$157.91,78,95,60,69,61,47,34,5%,-0.29%,47,$101.85 K,3.2%,36,38,7%,55
23092,46407,Gary,IN,Indiana,$69.8 K,1.15%,-3.7%,$57.75,56,88,60,65,59,30,21,8.4%,-0.29%,43,$36.87 K,3.2%,35,25,7%,53
23093,46508,Burket,IN,Indiana,$198.6 K,1.07%,6.4%,$138.53,82,63,62,80,64,21,11,1.9%,0.82%,75,$76.46 K,3.2%,36,26,7.25%,28
23094,46552,New Carlisle,IN,Indiana,$231.3 K,1.52%,5.5%,$172.79,53,43,60,73,58,32,20,3.3%,2.04%,38,$56.74 K,3.2%,35,34,7.5%,44
23095,46556,Notre Dame,IN,Indiana,$164.8 K,0.88%,6.7%,$232.77,91,63,59,69,59,28,21,3.9%,-0.7%,42,$61.88 K,3.2%,32,20,7%,43
23096,46616,South Bend,IN,Indiana,$177.7 K,1.03%,7.4%,$113.5,70,64,60,69,60,37,31,4.5%,-0.7%,55,$49.06 K,3.2%,29,24,7%,37
23097,46845,Fort Wayne,IN,Indiana,$228.5 K,0.87%,7.7%,$131.26,84,85,61,74,60,47,37,3.4%,0.05%,63,$58.23 K,3.2%,29,27,7%,41
23098,46962,North Manchester,IN,Indiana,$183.2 K,0.57%,6%,$111.13,63,43,58,76,60,30,23,3.3%,0.95%,41,$63.03 K,3.2%,32,29,7%,33
23099,47025,Lawrenceburg,IN,Indiana,$239.3 K,0.97%,4.1%,$146.52,67,28,63,83,62,35,21,3.3%,-1.75%,71,$58.94 K,4.5%,31,35,6%,38
23100,47038,Patriot,IN,Indiana,$221.9 K,0.46%,5.3%,$110.85,40,32,64,82,57,21,10,3.3%,1.18%,80,$60.31 K,3.2%,35,34,7%,57
23101,47231,Dupont,IN,Indiana,$546.8 K,0.8%,-0.4%,$256.62,85,77,69,79,39,30,21,4.6%,1.34%,65,$106.7 K,0%,17,48,9.4%,63
23102,47264,Norman,IN,Indiana,$234.8 K,1.03%,2.7%,$127.65,87,61,69,68,59,57,48,2.9%,1.84%,81,$62.85 K,4.8%,36,38,9%,57
23103,47304,Muncie,IN,Indiana,$134.8 K,0.81%,5.5%,$80.8,65,45,64,79,63,46,36,4.3%,-2.02%,28,$40.31 K,3.2%,31,25,7%,35
23104,47305,Muncie,IN,Indiana,$134.8 K,0.81%,5.5%,$80.8,65,45,64,79,63,46,36,4.3%,-2.02%,28,$40.31 K,3.2%,31,25,7%,35
23105,47356,Middletown,IN,Indiana,$734.2 K,1.86%,7.7%,$318.86,92,80,69,76,65,21,10,4.1%,0.34%,65,$137.72 K,5.5%,38,60,6.62%,66
23106,47361,Mount Summit,IN,Indiana,$156.3 K,0.78%,4.1%,$95.45,50,52,59,86,60,35,29,3.3%,-0.13%,30,$64 K,3.2%,33,26,7%,43
23107,47574,Rome,IN,Indiana,$280.2 K,2.48%,7.6%,$179.04,74,75,61,73,57,51,49,4.5%,-0.6%,76,$96.41 K,5%,36,36,8.5%,54
23108,47578,Sandborn,IN,Indiana,$128.6 K,0.74%,4.7%,$200.94,46,53,64,86,56,20,10,3.2%,-0.67%,42,$75.89 K,3.2%,35,24,7%,46
23109,47581,Shoals,IN,Indiana,$158.9 K,0.56%,10.4%,$109.19,42,41,60,82,57,21,12,3.1%,-0.42%,35,$35.72 K,3.2%,37,25,7%,39
23110,47840,Centerpoint,IN,Indiana,,,,,,,,,,,,,,,,,,,,
23111,47863,New Goshen,IN,Indiana,$98.1 K,0.94%,5.6%,$50.81,52,60,60,80,50,21,13,3.8%,-0.07%,56,$71.66 K,3.2%,35,30,7%,43
23112,47941,Dayton,IN,Indiana,$142.7 K,1.8%,0.9%,$95.05,71,59,65,60,67,40,33,4.1%,2.45%,30,$41.44 K,3.2%,43,31,7.5%,43
23113,47951,Kentland,IN,Indiana,$163.3 K,0.85%,7.4%,$90.91,65,30,58,72,35,23,13,3.5%,0.76%,26,$55.33 K,3.2%,40,23,7%,67
23114,47959,Monon,IN,Indiana,$392.7 K,1.88%,9.2%,$251.87,95,85,54,76,57,59,45,2.1%,1.14%,78,$87.72 K,5.3%,37,37,5.5%,48
23115,48080,Saint Clair Shores,MI,Michigan,,,,,,,,,,,,,,,,,,,,
23116,48085,Troy,MI,Michigan,$404.8 K,1.28%,5.3%,$194.49,96,94,59,76,51,58,42,2.5%,2%,63,$115.64 K,4.2%,35,47,6%,73
23117,48088,Warren,MI,Michigan,$180.1 K,1.68%,5%,$153.71,54,70,64,71,48,47,32,4.5%,2.04%,60,$61.63 K,4.2%,35,31,6%,87
23118,48104,Ann Arbor,MI,Michigan,$475.7 K,1.68%,5.5%,$258.66,99,82,61,71,65,94,84,2.1%,2.89%,65,$78.55 K,4.2%,34,50,6%,56
23119,48126,Dearborn,MI,Michigan,$216.4 K,1.97%,4.5%,$154.01,71,84,59,61,48,70,62,3.1%,1.69%,42,$64.6 K,4.2%,35,33,6%,98
23120,48166,Newport,MI,Michigan,$262.2 K,1.06%,6.4%,$160.32,67,59,71,76,55,51,38,3.4%,3.46%,58,$63.36 K,5.8%,35,37,6%,55
23121,48236,Grosse Pointe,MI,Michigan,$308.5 K,1.93%,4.8%,$176.89,85,91,59,64,47,49,38,4.7%,1.69%,36,$125.71 K,4.2%,31,47,6%,83
23122,48336,Farmington,MI,Michigan,$341.1 K,1.63%,5%,$159.81,95,100,59,79,50,46,35,2%,2%,59,$101.73 K,4.2%,36,43,6%,73
23123,48626,Hemlock,MI,Michigan,$258.7 K,1.33%,3.4%,$111.52,76,40,57,82,29,39,29,4.1%,1.1%,54,$79 K,3.1%,35,48,6%,100
23124,48640,Midland,MI,Michigan,$295.3 K,1.34%,3.4%,$137.51,73,64,79,75,61,54,43,2.1%,3.32%,91,$90.45 K,0%,37,37,8.25%,35
23125,48708,Bay City,MI,Michigan,$109.6 K,1.67%,8.3%,$74.75,51,59,61,81,58,60,58,4.7%,2.81%,33,$45.03 K,4.2%,33,22,6%,51
23126,48831,Elsie,MI,Michigan,$170.4 K,1.3%,1.8%,$110.75,79,65,59,84,53,21,12,2.6%,1.68%,84,$57.59 K,4.2%,34,28,6%,64
23127,48846,Ionia,MI,Michigan,$190.5 K,1.19%,5.4%,$125.68,50,52,56,79,65,40,26,2.9%,3.14%,66,$60.41 K,4.2%,33,28,6%,56
23128,48860,Muir,MI,Michigan,$177.9 K,1.23%,7.4%,$109.23,51,54,57,83,59,20,10,2.9%,3.14%,75,$49.3 K,4.2%,37,30,6%,53
23129,48866,Ovid,MI,Michigan,$204.9 K,2.36%,6%,$120.89,59,39,60,90,62,22,14,3.4%,2.21%,68,$55.54 K,5.5%,37,39,8%,46
23130,48885,Sidney,MI,Michigan,$191.8 K,1.09%,4.1%,$108.16,51,52,57,74,67,47,38,2.8%,1.7%,36,$63.85 K,3.2%,37,35,7.25%,26
23131,49009,Kalamazoo,MI,Michigan,$215.9 K,1.72%,5.3%,$138.98,85,61,59,70,62,48,40,3.7%,1.96%,57,$48.65 K,4.2%,39,30,6%,52
23132,49040,Colon,MI,Michigan,$388 K,1.56%,5.7%,$283.25,90,73,58,76,55,64,49,2.8%,1.95%,58,$94.3 K,5.5%,43,55,8%,47
23133,49251,Leslie,MI,Michigan,$253.7 K,1.93%,5.8%,$122.6,64,59,59,84,55,22,18,3.1%,1.55%,47,$97.1 K,4.2%,34,31,6%,63
23134,49289,Weston,MI,Michigan,$684.9 K,0.95%,5%,$278.16,91,100,66,79,38,45,29,2.8%,2.54%,80,$132.83 K,0%,35,64,7%,93
